player_id,player_name,position
00-0020739,,RB
00-0020754,,WR
00-0020780,,WR
00-0020805,,RB
00-0020820,,RB
00-0020828,,TE
00-0020849,,RB
00-0020904,,WR
00-0020917,,RB
00-0020964,,RB
00-0020973,,RB
00-0020984,,WR
00-0021031,,RB
00-0021048,,RB
00-0021063,,WR
00-0021084,,TE
00-0021087,,RB
00-0021090,,TE
00-0021093,,WR
00-0021094,,WR
00-0021100,,TE
00-0021121,,WR
00-0021141,,QB
00-0021147,,WR
00-0021148,,TE
00-0021150,,RB
00-0021152,,WR
00-0021153,,WR
00-0021154,,TE
00-0021159,,TE
00-0021163,,WR
00-0021166,,WR
00-0021174,,WR
00-0021175,,WR
00-0021176,,WR
00-0021179,,RB
00-0021182,,RB
00-0021183,,TE
00-0021184,,RB
00-0021190,,RB
00-0021191,,WR
00-0021192,,WR
00-0021206,J.McCown,QB
00-0021209,,RB
00-0021213,,TE
00-0021216,,RB
00-0021223,,RB
00-0021227,,TE
00-0021231,,QB
00-0021236,,TE
00-0021238,,QB
00-0021241,,TE
00-0021242,,WR
00-0021252,,RB
00-0021253,,RB
00-0021254,,QB
00-0021255,,TE
00-0021268,,TE
00-0021279,,FB
00-0021282,,TE
00-0021304,,TE
00-0021306,,RB
00-0021309,,WR
00-0021313,,WR
00-0021314,,RB
00-0021330,,WR
00-0021352,,TE
00-0021353,,WR
00-0021357,,RB
00-0021376,,RB
00-0021379,,QB
00-0021386,,RB
00-0017693,,K
00-0018578,,TE
00-0019242,,WR
00-0019281,,WR
00-0019816,,QB
00-0019905,,WR
00-0019919,,TE
00-0019975,,WR
00-0020030,,WR
00-0020058,,RB
00-0020508,,RB
00-0020550,,TE
00-0020587,,RB
00-0020735,,WR
00-0020786,,RB
00-0020794,,WR
00-0021028,,WR
00-0021098,,RB
00-0021102,,WR
00-0021164,,RB
00-0021212,,WR
00-0021271,,QB
00-0021273,,TE
00-0021287,,TE
00-0021337,,WR
00-0021371,,FB
00-0021387,,RB
00-0021403,,TE
00-0021406,,WR
00-0021425,,WR
00-0021437,,WR
00-0021460,,WR
00-0021508,,WR
00-0021509,,RB
00-0021525,,TE
00-0021528,,RB
00-0021547,A.Gates,TE
00-0021570,,WR
00-0021581,,RB
00-0021586,,TE
00-0021747,,RB
00-0021750,,RB
00-0021756,,TE
00-0021780,,WR
00-0021845,,RB
00-0021915,,WR
00-0021921,,WR
00-0021923,,WR
00-0021927,,WR
00-0021929,,TE
00-0021931,,WR
00-0021938,,RB
00-0021955,,RB
00-0021969,,WR
00-0021973,,WR
00-0021976,,RB
00-0021979,,RB
00-0021980,,TE
00-0021981,,WR
00-0021982,,WR
00-0021993,,WR
00-0021999,,WR
00-0022001,,WR
00-0022003,,FB
00-0022006,,RB
00-0022011,,RB
00-0022024,,WR
00-0022032,,WR
00-0022036,,TE
00-0022044,,WR
00-0022051,,TE
00-0022054,,TE
00-0022057,,RB
00-0022060,,TE
00-0022064,,WR
00-0022072,,WR
00-0022084,,WR
00-0022087,,WR
00-0022091,,QB
00-0022092,,RB
00-0022093,,RB
00-0022095,,RB
00-0022097,,WR
00-0022102,,WR
00-0022111,,WR
00-0022112,,QB
00-0022116,,RB
00-0022121,,QB
00-0022124,,WR
00-0022126,,TE
00-0022127,J.Witten,TE
00-0022129,,TE
00-0022130,,RB
00-0022135,,WR
00-0022138,,RB
00-0022141,,FB
00-0022144,,WR
00-0022156,,WR
00-0022164,,QB
00-0022165,,TE
00-0022171,,WR
00-0022174,,RB
00-0022177,,QB
00-0022180,,RB
00-0011641,,WR
00-0016919,A.Vinatieri,K
00-0019134,,RB
00-0019490,,K
00-0019907,,TE
00-0019932,,FB
00-0019997,,WR
00-0020046,,RB
00-0020073,,RB
00-0020127,,TE
00-0020617,,WR
00-0020770,,WR
00-0020793,,RB
00-0020797,,RB
00-0020985,,TE
00-0021260,,RB
00-0021277,,QB
00-0021296,,QB
00-0021305,,RB
00-0021343,,RB
00-0021409,,TE
00-0021424,,WR
00-0021429,C.Palmer,QB
00-0021434,,RB
00-0021530,,WR
00-0021554,,TE
00-0021560,,WR
00-0021636,,TE
00-0021647,,WR
00-0021673,,RB
00-0021755,,RB
00-0021788,,WR
00-0021810,,RB
00-0021890,,WR
00-0021936,,RB
00-0022005,,QB
00-0022026,,QB
00-0022039,,QB
00-0022101,,QB
00-0022178,,RB
00-0022181,,QB
00-0022215,,TE
00-0022217,,RB
00-0022224,,RB
00-0022232,,TE
00-0022250,,RB
00-0022288,,RB
00-0022363,,RB
00-0022384,,RB
00-0022385,,TE
00-0022388,,WR
00-0022405,,FB
00-0022414,,WR
00-0022427,,WR
00-0022449,,RB
00-0022464,,RB
00-0022538,,RB
00-0022582,,TE
00-0022621,,WR
00-0022664,,WR
00-0022674,,WR
00-0022679,,WR
00-0022704,,TE
00-0022706,,TE
00-0022725,,WR
00-0022726,,WR
00-0022731,,QB
00-0022736,,RB
00-0022738,,TE
00-0022739,,WR
00-0022744,,QB
00-0022751,,WR
00-0022754,,WR
00-0022759,,TE
00-0022766,,WR
00-0022770,,RB
00-0022781,,WR
00-0022782,,RB
00-0022787,M.Schaub,QB
00-0022796,,FB
00-0022797,,RB
00-0022803,E.Manning,QB
00-0022807,,WR
00-0022811,,WR
00-0022818,,QB
00-0022821,,RB
